prompt,answer
Sumer and Egypt were similar in all of the following ways EXCEPT,enjoyment of protection from invasion by natural barriers
A follower of the Chinese philosophy of Daoism would MOST agree with which statement?,Government intrusiveness should be kept to a minimum.
Which of these was NOT a characteristic of early humans in the Paleolithic Age?,Tendency to live in permanent settlements
Buddhism was founded in part as a response to questions about which faith?,Hinduism
The Kush city of Meroe rose to prominence mainly because of its natural supply of,iron
"During the first Punic War, the Romans were MOST interested in acquiring Sicily because it",offered an array of natural resources
The Battle of Thermopylae was key to Athenian victory in the Persian War because it,delayed the Persians' approach and gave the Athenians time to prepare
Who split the Roman Empire into two halves?,Diocletian
Usage of the Silk Roads for trade declined near the end of the Han dynasty primarily due to,epidemic disease that traveled along the roads and decimated the population
"During the Dorian period, Greece experienced food shortages as the result of a",trend of immigration out of the Greek mainland
"When the Mongols took control of China and established the Yuan dynasty, they did all of the following EXCEPT",establish a new version of the civil service exam
"The invasion of the Byzantine territory by the Seljuk Turks led to a weakening of the Byzantine Empire, primarily due to",a reduction in both food supply and the ability to collect taxes
"In the ninth century, the Vikings invaded other European communities primarily to",resolve food shortages
The reemergence of trade brought about by the Crusades was mainly facilitated through the shipping ports of which country?,Italy
Which of the following statements about how the Maya and the Aztec were similar is INCORRECT?,They both were conquered by the Spaniards.
Which factor was MOST responsible for the collapse of the Mughal Empire?,Succession disputes
The Northern Renaissance MOST differed from the Italian Renaissance in that it,placed greater importance on religious devotion
Who developed and taught the doctrine of predestination?,John Calvin
Portugal's MAIN motivation for seeking an alternate route to the East was to,end the Italian and Muslim dominance of trade
The Seven Years' War was MOST beneficial for which nation?,Britain
Which of these was part of the French National Assembly's initial plan for government reform?,Limited monarchy
"The Bill of Rights signed by William and Mary prevented the English monarch from doing all of the following, EXCEPT",imprisoning subjects without due cause
The Louisiana Purchase provided France with significant funding for,financing Napoléon's campaign to conquer Europe and build a French Empire
Simón Bolívar was MOST interested in leading revolutions against Spain in the Americas because he wanted to,establish a unified Latin American state
"In taking the Tennis Court Oath, the National Assembly vowed to",write a new state constitution
The beginning of the Industrial Revolution in England primarily resulted from,agricultural innovation
The Berlin Conference of 1884-85 was a meeting of European imperialist powers designed to peacefully negotiate,control over the African continent
The Boxer Rebellion of the late nineteenth and early twentieth centuries was a response to the,foreign intrusion into China
Economist Adam Smith's laissez-faire theory supported the notion that governments should,refrain from interfering with private business
Economic imperialism was different from other forms of colonial dominance in that the,region under imperialist influence was controlled by private businesses
Why were Hitler's attacks on Great Britain during World War II ultimately unsuccessful?,The British were able to track Nazi planes with radar.
"In 1917, the United States entered World War I after learning of a German plot to",help Mexico retake land it had lost to the United States
"During the civil war in Russia, most of the people supported Lenin's Red Army because they",feared the White Army would return the czar to power
What did the term Anschluss mean to Hitler and the Germans?,The unification of Germany and Austria
The American military resorted to the use of atomic weapons because,a ground invasion would result in too many casualties
What is the primary reason the Soviet Union installed communist regimes in Eastern Europe after World War II?,To insulate itself from the West
Why did the Korean War ultimately end in a stalemate?,Because the Chinese entered the war and forced UN troops to retreat
